SRA ID,Actual MIC
ERR3808921,10
ERR2091329,1024.0
ERR2091338,0.125
ERR2091419,0.015
ERR2091318,32
ERR2931011,20
ERR3808889,31
ERR2091317,0.03
ERR2091401,1.0
ERR3808899,28
ERR2091360,0.25
ERR3808925,6
ERR2091361,0.25
ERR2091418,64
ERR3808908,36
ERR3808909,10
ERR2931024,0.25
ERR2091309,0.25
ERR3808875,10
ERR3808866,6
ERR2091316,0.015
ERR2091335,0.125
ERR2091399,1
ERR2091411,8.0
ERR3808869,12
ERR2091315,0.125
ERR2091364,64.0
ERR3808900,33
ERR3808871,23
ERR2091322,2
ERR2091400,0.015
ERR2091420,4.0
ERR2091402,0.015
ERR3808899,14
ERR3808876,30
ERR2091315,1
ERR2091400,4
ERR3808880,21
ERR2931017,0.5
ERR2091304,4
ERR3808901,15
ERR2091314,64
ERR2091307,8.0
ERR3808872,30
ERR3808871,32
ERR2091426,0.5
ERR2091349,0.015
ERR2931009,0.25
ERR3808922,14
ERR2091317,0.25
ERR3808926,20
ERR2931002,20
ERR3808891,25
ERR3808925,25
ERR2091308,0.03
ERR2091427,8.0
ERR2091411,1.0
ERR3808915,17
ERR2091423,0.06
ERR3808903,18
ERR2931021,8
ERR2091357,64
ERR3808926,32
ERR2091408,2
ERR2091402,512
ERR2091363,0.125
ERR3808871,29
ERR2931017,8
ERR3808907,9
ERR3808872,20
ERR2091329,0.25
ERR2091356,64.0
ERR2091425,32.0
ERR3808921,6
ERR2091430,0.125
ERR2091327,64.0
ERR3808904,6
ERR2091413,0.25
ERR2091412,0.5
ERR3808925,19
ERR2091306,64.0
ERR2091343,8.0
ERR2091353,16
ERR2091333,0.125
ERR2931033,20
ERR3808915,24
ERR2091342,0.015
ERR2091424,1
ERR2091329,4.0
ERR3808888,6
ERR2091418,0.25
ERR3808927,15
ERR3808881,24
ERR3808911,19
ERR3808887,6
ERR3808912,8
ERR3808879,18
ERR3808906,35
ERR2091350,2
ERR2091412,8
ERR3808873,18
ERR3808873,23
ERR2091429,0.015
ERR2091341,4
ERR2931021,0.25
ERR3808891,33
ERR2091404,8.0
ERR2091338,8.0
ERR3808926,21
ERR2091334,32
ERR2091312,4
ERR3808879,6
ERR3808880,23
ERR2091408,0.015
ERR2091331,0.5
ERR2091343,0.015
ERR2091409,0.5
ERR3808889,31
ERR3808908,14
ERR2091320,32
ERR3808925,23
ERR2091405,0.25
ERR2091324,1.0
ERR2091347,1
ERR2091308,2
ERR3808880,17
ERR2091358,64
ERR2091363,8.0
ERR3808879,31
ERR3808910,6
ERR2091358,1024.0
ERR3808912,25
ERR2091419,1.0
ERR2091324,0.25
ERR2091409,1024.0
ERR2091411,8.0
ERR3808880,24
ERR2091311,2
ERR3808902,26
ERR3808920,18
ERR2091346,4
ERR3808879,24
ERR3808872,20
ERR2091400,0.015
ERR3808885,19
ERR2091309,0.015
ERR2931028,16
ERR3808906,9
ERR3808870,21
ERR3808902,24
ERR2091305,32.0
ERR2091332,1.0
ERR2091331,0.015
ERR2091337,64.0
ERR2931032,0.5
ERR2091339,8
ERR3808915,33
ERR3808874,14
ERR2091399,0.125
ERR3808880,24
ERR2091348,0.015
ERR3808917,15
ERR2091410,0.125
ERR3808877,15
ERR2091422,0.125
ERR2091326,2
ERR2091312,0.015
ERR3808884,27
ERR2091355,0.125
ERR2091396,64.0
ERR3808890,23
ERR3808873,24
ERR2091400,8.0
ERR2091337,0.03
ERR2091420,0.015
ERR2091409,1.0
ERR2091430,0.06
ERR2091342,8.0
ERR3808896,19
ERR3808895,30
ERR2091423,4
ERR2091340,0.25
ERR3808921,19
ERR3808928,22
ERR3808888,17
ERR3808921,18
ERR2091356,0.015
ERR2931009,4
ERR3808922,21
ERR2091399,0.25
ERR3808868,29
ERR2091404,1
ERR2091331,8.0
ERR2091428,4
ERR3808901,6
ERR2931011,64
ERR2091324,2
ERR2091357,64.0
ERR2091357,4.0
ERR2091354,0.125
ERR3808886,6
ERR2091406,0.03
ERR2091341,128
ERR2091346,64.0
ERR2091422,0.5
ERR3808922,6
ERR3808917,14
ERR2091358,4.0
ERR2091413,0.25
ERR3808873,23
ERR2091400,32.0
ERR3808902,15
ERR2091411,64.0
ERR3808885,29
ERR2091360,0.5
ERR2091339,1024.0
ERR3808926,31
ERR3808894,26
ERR2091328,64
ERR2931033,4
ERR2091405,64
ERR3808923,6
ERR3808919,6
ERR3808892,31
ERR3808872,6
ERR3808886,15
ERR2091430,0.25
ERR2931025,4
ERR2091364,1.0
ERR3808879,32
ERR3808883,6
ERR3808907,6
ERR2091342,0.03
ERR2091313,8.0
ERR2091304,1.0
ERR2091401,64
ERR2091363,64
ERR2091362,0.03
ERR2091309,32
ERR3808927,11
ERR2091320,0.03
ERR2091345,128
ERR2091318,0.25
ERR3808920,14
ERR2091399,32
ERR3808927,6
ERR2091398,32
ERR3808884,20
ERR2091400,1024.0
ERR2091425,8.0
ERR3808891,6
ERR3808883,11
ERR3808927,19
ERR2091415,64
ERR2091334,0.03
ERR2091323,0.03
ERR3808877,30
ERR3808904,7
ERR2091341,64.0
ERR3808888,32
ERR2091319,64.0
ERR3808907,11
ERR2091412,1.0
ERR3808891,23
ERR3808916,6
ERR2091406,0.125
ERR3808922,6
ERR2091430,8.0
ERR3808869,14
ERR2091428,0.5
ERR2091316,4.0
ERR2091328,0.03
ERR3808924,33
ERR2091408,4.0
ERR3808893,6
ERR2091430,4.0
ERR2091304,8.0
ERR2091354,8.0
ERR3808890,17
ERR2091345,64.0
ERR2091336,32.0
ERR3808890,13
ERR3808885,6
ERR2931028,20
ERR2091351,32.0
ERR3808902,30
ERR3808884,24
ERR3808900,22
ERR3808899,10
ERR3808914,29
ERR2091306,1024.0
ERR3808921,28
ERR2091311,2
ERR2091398,32.0
ERR2091314,0.25
ERR2931028,2
ERR2091428,8.0
ERR3808909,22
ERR2091421,8
ERR2091321,0.03
ERR2091421,4.0
ERR2091334,1.0
ERR2091418,32
ERR3808922,32
ERR2091423,32.0
ERR2091343,32
ERR2091342,0.25
ERR2931033,2
ERR2091304,0.25
ERR2091361,32.0
ERR3808927,29
ERR3808898,12
ERR2091319,0.03
ERR2091348,64.0
ERR2931021,0.25
